,temperature
2019-02-10 05:00:00,48.99
2019-02-10 06:00:00,48.71
2019-02-10 07:00:00,48.41
2019-02-10 08:00:00,47.94
2019-02-10 09:00:00,46.84
2019-02-10 10:00:00,46.45
2019-02-10 11:00:00,45.9
2019-02-10 12:00:00,44.73
2019-02-10 13:00:00,43.68
2019-02-10 14:00:00,42.48
2019-02-10 15:00:00,41.02
2019-02-10 16:00:00,40.0
2019-02-10 17:00:00,40.04
2019-02-10 18:00:00,40.76
2019-02-10 19:00:00,43.63
2019-02-10 20:00:00,46.63
2019-02-10 21:00:00,48.01
2019-02-10 22:00:00,49.35
2019-02-10 23:00:00,50.02
2019-02-11 00:00:00,50.42
2019-02-11 01:00:00,49.04
2019-02-11 02:00:00,46.19
2019-02-11 03:00:00,44.84
2019-02-11 04:00:00,42.71
2019-02-11 05:00:00,40.99
2019-02-11 06:00:00,40.57
2019-02-11 07:00:00,37.6
2019-02-11 08:00:00,38.03
2019-02-11 09:00:00,36.36
2019-02-11 10:00:00,34.83
2019-02-11 11:00:00,33.59
2019-02-11 12:00:00,33.87
2019-02-11 13:00:00,33.08
2019-02-11 14:00:00,32.48
2019-02-11 15:00:00,32.84
2019-02-11 16:00:00,33.08
2019-02-11 17:00:00,37.95
2019-02-11 18:00:00,42.86
2019-02-11 19:00:00,46.76
2019-02-11 20:00:00,48.89
2019-02-11 21:00:00,50.95
2019-02-11 22:00:00,52.35
2019-02-11 23:00:00,52.86
2019-02-12 00:00:00,53.29
2019-02-12 01:00:00,52.65
2019-02-12 02:00:00,49.67
2019-02-12 03:00:00,47.64
2019-02-12 04:00:00,43.51
2019-02-12 05:00:00,42.68
2019-02-12 06:00:00,38.58
2019-02-12 07:00:00,38.5
2019-02-12 08:00:00,36.58
2019-02-12 09:00:00,36.76
2019-02-12 10:00:00,35.21
2019-02-12 11:00:00,35.73
2019-02-12 12:00:00,35.97
2019-02-12 13:00:00,35.55
2019-02-12 14:00:00,35.1
2019-02-12 15:00:00,36.51
2019-02-12 16:00:00,37.92
2019-02-12 17:00:00,41.81
2019-02-12 18:00:00,43.82
2019-02-12 19:00:00,47.18
2019-02-12 20:00:00,49.46
2019-02-12 21:00:00,50.4
2019-02-12 22:00:00,51.24
2019-02-12 23:00:00,51.58
2019-02-13 00:00:00,51.26
2019-02-13 01:00:00,50.46
2019-02-13 02:00:00,49.08
2019-02-13 03:00:00,48.38
2019-02-13 04:00:00,47.07
2019-02-13 05:00:00,47.99
2019-02-13 06:00:00,49.66
2019-02-13 07:00:00,51.75
2019-02-13 08:00:00,53.94
2019-02-13 09:00:00,54.08
2019-02-13 10:00:00,55.45
2019-02-13 11:00:00,54.95
2019-02-13 12:00:00,53.6
2019-02-13 13:00:00,52.64
2019-02-13 14:00:00,51.4
2019-02-13 15:00:00,49.79
2019-02-13 16:00:00,50.4
2019-02-13 17:00:00,51.18
2019-02-13 18:00:00,52.42
2019-02-13 19:00:00,54.1
2019-02-13 20:00:00,54.82
2019-02-13 21:00:00,56.93
2019-02-13 22:00:00,58.27
2019-02-13 23:00:00,59.27
2019-02-14 00:00:00,60.4
2019-02-14 01:00:00,61.0
2019-02-14 02:00:00,61.45
2019-02-14 03:00:00,61.19
2019-02-14 04:00:00,61.52
2019-02-14 05:00:00,61.56
2019-02-14 06:00:00,61.92
2019-02-14 07:00:00,62.09
2019-02-14 08:00:00,62.72
2019-02-14 09:00:00,62.78
2019-02-14 10:00:00,62.85
2019-02-14 11:00:00,63.3
2019-02-14 12:00:00,63.1
2019-02-14 13:00:00,61.5
2019-02-14 14:00:00,60.02
2019-02-14 15:00:00,60.43
2019-02-14 16:00:00,60.69
2019-02-14 17:00:00,60.97
2019-02-14 18:00:00,62.26
2019-02-14 19:00:00,61.46
2019-02-14 20:00:00,58.74
2019-02-14 21:00:00,56.71
2019-02-14 22:00:00,56.08
2019-02-14 23:00:00,55.25
2019-02-15 00:00:00,56.07
2019-02-15 01:00:00,54.83
2019-02-15 02:00:00,53.67
2019-02-15 03:00:00,52.08
2019-02-15 04:00:00,50.83
2019-02-15 05:00:00,49.66
2019-02-15 06:00:00,48.64
2019-02-15 07:00:00,47.64
2019-02-15 08:00:00,48.52
2019-02-15 09:00:00,48.93
2019-02-15 10:00:00,48.7
2019-02-15 11:00:00,48.95
2019-02-15 12:00:00,48.36
2019-02-15 13:00:00,48.17
2019-02-15 14:00:00,47.82
2019-02-15 15:00:00,47.13
2019-02-15 16:00:00,47.09
2019-02-15 17:00:00,46.84
2019-02-15 18:00:00,47.89
2019-02-15 19:00:00,49.48
2019-02-15 20:00:00,50.63
2019-02-15 21:00:00,51.69
2019-02-15 22:00:00,53.11
2019-02-15 23:00:00,52.86
2019-02-16 00:00:00,50.49
2019-02-16 01:00:00,49.26
2019-02-16 02:00:00,48.36
2019-02-16 03:00:00,46.36
2019-02-16 04:00:00,44.95
2019-02-16 05:00:00,44.29
2019-02-16 06:00:00,43.46
2019-02-16 07:00:00,41.7
2019-02-16 08:00:00,41.62
2019-02-16 09:00:00,42.1
2019-02-16 10:00:00,41.73
2019-02-16 11:00:00,41.86
2019-02-16 12:00:00,42.32
2019-02-16 13:00:00,42.45
2019-02-16 14:00:00,42.54
2019-02-16 15:00:00,42.47
2019-02-16 16:00:00,42.77
2019-02-16 17:00:00,43.9
2019-02-16 18:00:00,46.45
2019-02-16 19:00:00,47.72
2019-02-16 20:00:00,49.47
2019-02-16 21:00:00,49.71
2019-02-16 22:00:00,48.71
2019-02-16 23:00:00,48.36
2019-02-17 00:00:00,48.58
2019-02-17 01:00:00,47.97
2019-02-17 02:00:00,46.71
2019-02-17 03:00:00,45.28
2019-02-17 04:00:00,43.83
2019-02-17 05:00:00,43.1
2019-02-17 06:00:00,42.02
2019-02-17 07:00:00,40.69
2019-02-17 08:00:00,39.98
2019-02-17 09:00:00,39.27
2019-02-17 10:00:00,38.22
2019-02-17 11:00:00,37.93
2019-02-17 12:00:00,38.06
2019-02-17 13:00:00,38.6
2019-02-17 14:00:00,39.16
2019-02-17 15:00:00,39.57
2019-02-17 16:00:00,39.55
2019-02-17 17:00:00,40.4
2019-02-17 18:00:00,41.32
2019-02-17 19:00:00,43.04
2019-02-17 20:00:00,44.36
2019-02-17 21:00:00,45.39
2019-02-17 22:00:00,47.65
2019-02-17 23:00:00,48.74
2019-02-18 00:00:00,49.4
2019-02-18 01:00:00,49.12
2019-02-18 02:00:00,47.05
2019-02-18 03:00:00,44.78
2019-02-18 04:00:00,41.61
2019-02-18 05:00:00,41.76
2019-02-18 06:00:00,40.51
2019-02-18 07:00:00,38.85
2019-02-18 08:00:00,37.92
2019-02-18 09:00:00,37.8
2019-02-18 10:00:00,36.31
2019-02-18 11:00:00,35.13
2019-02-18 12:00:00,34.63
2019-02-18 13:00:00,35.65
2019-02-18 14:00:00,34.08
2019-02-18 15:00:00,34.26
2019-02-18 16:00:00,35.49
2019-02-18 17:00:00,38.85
2019-02-18 18:00:00,41.93
2019-02-18 19:00:00,44.87
2019-02-18 20:00:00,46.57
2019-02-18 21:00:00,48.58
2019-02-18 22:00:00,49.68
2019-02-18 23:00:00,50.94
2019-02-19 00:00:00,52.81
2019-02-19 01:00:00,53.72
2019-02-19 02:00:00,53.42
2019-02-19 03:00:00,50.32
2019-02-19 04:00:00,47.57
2019-02-19 05:00:00,46.34
2019-02-19 06:00:00,44.86
2019-02-19 07:00:00,41.3
2019-02-19 08:00:00,40.25
2019-02-19 09:00:00,38.72
2019-02-19 10:00:00,37.59
2019-02-19 11:00:00,37.09
2019-02-19 12:00:00,35.81
2019-02-19 13:00:00,34.81
2019-02-19 14:00:00,32.59
2019-02-19 15:00:00,33.35
2019-02-19 16:00:00,34.91
2019-02-19 17:00:00,38.22
2019-02-19 18:00:00,42.83
2019-02-19 19:00:00,46.29
2019-02-19 20:00:00,48.21
2019-02-19 21:00:00,49.91
2019-02-19 22:00:00,51.73
2019-02-19 23:00:00,52.9
2019-02-20 00:00:00,53.5
2019-02-20 01:00:00,54.02
2019-02-20 02:00:00,53.02
2019-02-20 03:00:00,50.16
