,temperature
2019-03-21 02:00:00,57.74
2019-03-21 03:00:00,56.07
2019-03-21 04:00:00,54.97
2019-03-21 05:00:00,54.02
2019-03-21 06:00:00,52.75
2019-03-21 07:00:00,51.48
2019-03-21 08:00:00,50.22
2019-03-21 09:00:00,49.07
2019-03-21 10:00:00,47.98
2019-03-21 11:00:00,46.96
2019-03-21 12:00:00,45.57
2019-03-21 13:00:00,44.75
2019-03-21 14:00:00,43.94
2019-03-21 15:00:00,43.94
2019-03-21 16:00:00,46.89
2019-03-21 17:00:00,50.79
2019-03-21 18:00:00,53.77
2019-03-21 19:00:00,56.32
2019-03-21 20:00:00,58.35
2019-03-21 21:00:00,60.34
2019-03-21 22:00:00,61.9
2019-03-21 23:00:00,63.12
2019-03-22 00:00:00,63.29
2019-03-22 01:00:00,62.29
2019-03-22 02:00:00,59.4
2019-03-22 03:00:00,56.53
2019-03-22 04:00:00,54.58
2019-03-22 05:00:00,53.29
2019-03-22 06:00:00,51.9
